
# ignored species : 2

# ../ens_synthelogs.pl -d Plants -c Brassicaceae -r arabidopsis_thaliana -o  -f  -a 1 -t protein -G 75 -L 0

# supported species in NCBI taxon Brassicaceae : 4

# total selected species : 4

# re-using /homes/bcontreras/plant_tools/compara/downloads/Compara.100.protein_default.homologies.arabidopsis_thaliana.tsv.gz

# re-using /homes/bcontreras/plant_tools/compara/downloads/Arabidopsis_thaliana.TAIR10.47.gtf.gz

gene	location	arabidopsis_lyrata	brassica_rapa	brassica_oleracea	arabidopsis_thaliana
AT3G14350	3:4782757-4787243:-	fgenesh2_kg.3__1553__AT3G14350.1	NA	NA	AT3G14350.1
AT3G14360	3:4791448-4793684:+	scaffold_301677.1	Bra027346.1-P	NA	AT3G14360.1
AT3G14362	3:4793678-4794417:-	scaffold_301678.1	NA	NA	AT3G14362.1
AT3G14370	3:4797828-4799612:-	scaffold_301679.1	Bra027344.1-P	Bo5g130360.1	AT3G14370.1
AT3G14380	3:4802952-4804468:-	fgenesh2_kg.3__1556__AT3G14380.1	Bra027343.1-P	Bo5g130350.1	AT3G14380.1
AT3G14390	3:4806670-4809433:+	fgenesh2_kg.3__1557__AT3G14390.1	NA	NA	AT3G14390.1
AT3G14395	3:4810888-4811481:+	fgenesh2_kg.3__1559__AT3G14395.1	Bra027342.1-P	Bo5g130340.1	AT3G14395.1
AT3G14410	3:4815763-4817981:-	scaffold_301684.1	Bra027340.1-P	Bo5g130320.1	AT3G14410.1
AT3G14420	3:4821391-4824178:+	fgenesh2_kg.3__1563__AT3G14420.2	NA	NA	AT3G14420.1
AT3G14430	3:4824158-4824913:-	scaffold_301687.1	Bra027337.1-P,Bra021557.1-P	Bo5g130290.1	AT3G14430.1
AT3G14440	3:4831286-4834015:-	fgenesh2_kg.3__1569__AT3G14440.1	Bra021558.1-P,Bra027336.1-P	Bo5g130280.1	AT3G14440.1
AT3G14450	3:4849539-4851678:+	fgenesh2_kg.3__1570__AT3G14450.1	Bra027334.1-P	Bo5g129220.1	AT3G14450.1
AT3G14460	3:4851990-4856450:-	fgenesh2_kg.3__1571__AT3G14460.1	Bra027333.1-P	Bo5g129210.1	AT3G14460.1
AT3G14470	3:4857464-4861293:+	fgenesh2_kg.3__1572__AT3G14470.1	Bra027332.1-P	Bo5g129200.1	AT3G14470.1
AT3G14490	3:4863613-4865949:-	Al_scaffold_0003_1514	NA	NA	AT3G14490.1
AT3G14530	3:4879091-4880483:-	fgenesh2_kg.3__1574__AT3G14550.1	NA	NA	AT3G14530.1
AT3G14550	3:4884563-4887487:-	fgenesh2_kg.3__1574__AT3G14550.1	NA	NA	AT3G14550.2
AT3G14560	3:4889063-4890215:+	scaffold_301695.1	Bra027329.1-P	Bo5g129090.1	AT3G14560.1
AT3G14570	3:4892410-4902880:+	scaffold_301696.1	Bra027328.1-P	Bo5g129080.1	AT3G14570.1
AT3G14580	3:4902953-4904229:+	Al_scaffold_0003_1518	Bra027327.1-P	Bo5g129070.1	AT3G14580.1
AT3G14590	3:4904270-4908067:-	fgenesh2_kg.3__1578__AT3G14590.1	Bra027326.1-P	Bo5g129060.1	AT3G14590.2
AT3G14595	3:4908731-4910521:+	NA	NA	Bo5g129050.1	AT3G14595.1
AT3G14600	3:4910629-4912289:+	fgenesh2_kg.3__1580__AT3G14600.1	Bra027325.1-P	Bo5g129020.1	AT3G14600.1
AT3G14610	3:4912324-4914672:+	fgenesh2_kg.3__1581__AT3G14610.1	Bra027324.1-P	NA	AT3G14610.1
AT3G14620	3:4914789-4917176:+	NA	Bra027323.1-P	NA	AT3G14620.1
AT3G14630	3:4917327-4919702:+	NA	Bra027322.1-P	NA	AT3G14630.2
AT3G14680	3:4934330-4936644:+	NA	Bra027320.1-P	NA	AT3G14680.1
AT3G14690	3:4937172-4939871:+	fgenesh2_kg.3__1583__AT3G14660.1	NA	NA	AT3G14690.2
AT3G14700	3:4940318-4941398:+	scaffold_301705.1	Bra027318.1-P	NA	AT3G14700.2
AT3G14710	3:4941481-4943064:+	fgenesh2_kg.3__1584__AT3G14710.1	NA	NA	AT3G14710.1
AT3G14720	3:4945601-4949042:+	fgenesh2_kg.3__1585__AT3G14720.1	Bra027317.1-P,Bra021573.1-P	Bo5g128940.1	AT3G14720.1
AT3G14730	3:4949178-4951346:-	fgenesh2_kg.3__1586__AT3G14730.1	Bra021574.1-P	Bo1g130030.1	AT3G14730.1
AT3G14740	3:4952004-4953510:-	Al_scaffold_0003_1526	Bra027316.1-P,Bra021575.1-P	Bo1g130020.1,Bo5g128930.1	AT3G14740.2
AT3G14750	3:4953547-4955754:-	fgenesh2_kg.3__1589__AT3G14750.1	NA	NA	AT3G14750.1
AT3G14760	3:4956349-4957306:+	scaffold_301711.1	Bra021576.1-P	Bo1g130010.1	AT3G14760.1
AT3G14770	3:4957334-4959704:-	scaffold_301712.1	NA	NA	AT3G14770.1
AT3G14790	3:4964105-4967075:+	fgenesh2_kg.3__1593__AT3G14790.1	Bra027310.1-P	NA	AT3G14790.2
AT3G14810	3:4970944-4974534:-	fgenesh2_kg.3__1595__AT3G14810.1	NA	NA	AT3G14810.1
AT3G14820	3:4978726-4980241:+	fgenesh1_pg.C_scaffold_3001369	NA	Bo1g129960.1	AT3G14820.1
AT3G14830	3:4982588-4985860:+	fgenesh2_kg.3__1598__AT3G14830.1	NA	NA	AT3G14830.3
AT3G14840	3:4988008-4994109:+	fgenesh2_kg.3__1600__AT3G14840.2	Bra001566.1-P,Bra001567.1-P	NA	AT3G14840.2
AT3G14850	3:4995426-4997785:+	fgenesh2_kg.3__1601__AT3G14850.2	Bra001569.1-P	NA	AT3G14850.2
AT3G14860	3:4998304-5001046:-	fgenesh2_kg.3__1603__AT3G14860.2	Bra001570.1-P	Bo3g066450.1	AT3G14860.2
AT3G14870	3:5002271-5005877:+	fgenesh2_kg.3__1606__AT3G14870.3	Bra001571.1-P	Bo3g066460.1	AT3G14870.1
AT3G14880	3:5006526-5008037:+	fgenesh1_pg.C_scaffold_3001375	Bra027297.1-P	Bo5g127650.1	AT3G14880.1
AT3G14890	3:5008676-5013265:+	Al_scaffold_0003_1541	Bra027296.1-P,Bra001572.1-P	Bo5g127630.1	AT3G14890.1
AT3G14900	3:5013291-5015342:-	fgenesh2_kg.3__1612__AT3G14900.1	Bra027295.1-P	Bo5g127620.1	AT3G14900.1
AT3G14910	3:5015411-5017861:+	fgenesh2_kg.3__1613__AT3G14910.1	NA	Bo5g127610.1	AT3G14910.1
AT3G14920	3:5017941-5020476:+	scaffold_301730.1	Bra001573.1-P	NA	AT3G14920.1
AT3G14930	3:5020461-5023146:+	fgenesh2_kg.3__1617__AT3G14930.1	Bra027294.1-P	Bo5g127600.1	AT3G14930.2
AT3G14940	3:5025184-5029886:+	fgenesh2_kg.3__1618__AT3G14940.1	Bra027293.1-P,Bra001575.1-P	Bo5g127590.1	AT3G14940.1
AT3G14950	3:5029987-5033102:-	NA	Bra027292.1-P	Bo5g127580.1	AT3G14950.1
AT3G14960	3:5035841-5038114:-	NA	Bra027291.1-P	Bo5g127570.1	AT3G14960.1
AT3G14980	3:5039812-5045525:-	fgenesh2_kg.3__1623__AT3G14980.1	Bra027290.1-P	Bo5g127560.1	AT3G14980.2
AT3G14990	3:5047376-5049971:+	fgenesh2_kg.3__1625__AT3G14990.1	NA	NA	AT3G14990.1
AT3G15000	3:5050195-5052455:+	fgenesh2_kg.3__1627__AT3G15000.1	Bra027285.1-P	Bo5g127510.1	AT3G15000.1
AT3G15010	3:5052725-5056017:+	fgenesh2_kg.3__1628__AT3G15010.2	NA	NA	AT3G15010.2
AT3G15020	3:5055741-5058249:+	fgenesh2_kg.3__1630__AT3G15020.2	NA	NA	AT3G15020.1
AT3G15030	3:5061681-5064152:+	scaffold_301743.1	Bra021586.1-P	Bo1g129830.1	AT3G15030.1
AT3G15040	3:5064704-5066745:-	scaffold_301744.1	Bra001580.1-P	NA	AT3G15040.1
AT3G15050	3:5066879-5068013:-	fgenesh2_kg.3__1635__AT3G15050.1	NA	NA	AT3G15050.1
AT3G15060	3:5069104-5070540:+	fgenesh2_kg.3__1636__AT3G15060.1	Bra001581.1-P	Bo1g129800.1	AT3G15060.1
AT3G15070	3:5070134-5073440:-	fgenesh2_kg.3__1637__AT3G15070.1	Bra001582.1-P	NA	AT3G15070.1
AT3G15080	3:5074216-5076566:+	fgenesh1_pm.C_scaffold_3001299	Bra027281.1-P	NA	AT3G15080.1
AT3G15090	3:5076624-5079159:+	fgenesh2_kg.3__1639__AT3G15090.1	Bra027280.1-P	Bo5g127470.1	AT3G15090.1
AT3G15095	3:5081780-5084240:+	fgenesh2_kg.3__1641__AT3G15095.1	Bra027279.1-P	Bo5g127460.1	AT3G15095.1
AT3G15110	3:5084278-5085942:-	fgenesh2_kg.3__1643__AT3G15110.1	Bra027278.1-P	Bo5g127450.1	AT3G15110.1
AT3G15115	3:5085992-5087496:-	fgenesh2_kg.3__1644__AT3G15115.1	Bra027277.1-P	NA	AT3G15115.1
AT3G15120	3:5088093-5095965:-	fgenesh1_pm.C_scaffold_3001304	NA	NA	AT3G15120.2
AT3G15130	3:5096402-5099371:-	fgenesh1_pm.C_scaffold_3001305	NA	NA	AT3G15130.1
AT3G15150	3:5101844-5104159:-	scaffold_301758.1	NA	Bo5g127420.1	AT3G15150.1
AT3G15160	3:5104367-5108509:+	fgenesh2_kg.3__1649__AT3G15160.1	NA	NA	AT3G15160.1
AT3G15170	3:5109782-5111608:+	fgenesh2_kg.3__1650__AT3G15170.1	NA	Bo5g127410.1	AT3G15170.1
AT3G15180	3:5111873-5116068:+	fgenesh2_kg.3__1651__AT3G15180.1	NA	NA	AT3G15180.2
AT3G15190	3:5116021-5117615:+	scaffold_301763.1	Bra027273.1-P	NA	AT3G15190.1
AT3G15200	3:5117489-5119060:-	scaffold_301764.1	Bra027272.1-P	NA	AT3G15200.1
AT3G15210	3:5121303-5122562:+	scaffold_301765.1	Bra027270.1-P	Bo5g127380.1	AT3G15210.1
AT3G15220	3:5126590-5132330:-	scaffold_301766.1	Bra027269.1-P	Bo5g127370.1	AT3G15220.1
AT3G15240	3:5133444-5136032:+	fgenesh2_kg.3__1656__AT3G15240.2	Bra027268.1-P	Bo5g127360.1	AT3G15240.2
AT3G15250	3:5136262-5137195:-	fgenesh2_kg.3__1657__AT3G15250.1	Bra027267.1-P	Bo5g127350.1	AT3G15250.1
AT3G15260	3:5138684-5142873:+	fgenesh2_kg.3__1659__AT3G15260.2	Bra027266.1-P	Bo5g127320.1	AT3G15260.1
AT3G15270	3:5140365-5142323:-	NA	Bra027265.1-P	Bo5g127310.1	AT3G15270.1
AT3G15280	3:5143965-5144750:-	fgenesh2_kg.3__1661__AT3G15280.1	Bra027264.1-P	Bo5g127300.1	AT3G15280.1
AT3G15290	3:5144938-5146860:+	scaffold_301773.1	Bra027263.1-P	Bo5g127290.1	AT3G15290.1
AT3G15300	3:5147244-5148340:-	fgenesh2_kg.3__1663__AT3G15300.1	Bra027262.1-P	Bo1g129670.1,Bo5g127270.1	AT3G15300.1
AT3G15340	3:5159698-5162945:-	fgenesh2_kg.3__1665__AT3G15340.1	NA	NA	AT3G15340.3
AT3G15350	3:5166175-5169229:+	fgenesh2_kg.3__1666__AT3G15350.1	Bra027260.1-P,Bra021099.1-P	Bo1g128590.1	AT3G15350.2
AT3G15354	3:5169095-5173105:-	scaffold_301783.1	Bra021100.1-P,Bra027259.1-P	Bo5g127250.1,Bo1g128580.1	AT3G15354.3
AT3G15356	3:5174402-5175523:-	fgenesh2_kg.3__1669__AT3G15356.1	NA	NA	AT3G15356.1
AT3G15351	3:5175948-5177721:+	fgenesh2_kg.3__1671__AT3G15351.1	Bra021102.1-P	Bo1g128560.1	AT3G15351.5
AT3G15358	3:5177811-5178966:+	scaffold_301787.1	Bra021103.1-P	Bo1g128550.1,Bo5g127230.1	AT3G15358.1
AT3G15352	3:5179358-5180665:+	fgenesh2_kg.3__1672__AT3G15352.1	Bra021104.1-P	NA	AT3G15352.4
AT3G15353	3:5180642-5181586:-	scaffold_301789.1	Bra027254.1-P	Bo5g127210.1	AT3G15353.1
AT3G15355	3:5183641-5186929:+	fgenesh2_kg.3__1674__AT3G15355.1	Bra027252.1-P	Bo5g127190.1	AT3G15355.1
AT3G15357	3:5187082-5187789:+	fgenesh2_kg.3__1675__AT3G15357.1	Bra027251.1-P	Bo5g127180.1	AT3G15357.1
AT3G15360	3:5188241-5189836:+	scaffold_301794.1	Bra027250.1-P,Bra001592.1-P	Bo5g127170.1	AT3G15360.1
AT3G15370	3:5190554-5192197:+	fgenesh2_kg.3__1676__AT3G15370.1	Bra027249.1-P,Bra001593.1-P	Bo5g127160.1	AT3G15370.2
AT3G15380	3:5193203-5196591:+	fgenesh2_kg.3__1677__AT3G15380.1	Bra027248.1-P	NA	AT3G15380.1
AT3G15390	3:5196522-5200394:-	fgenesh2_kg.3__1678__AT3G15390.1	Bra027247.1-P	Bo5g127150.1	AT3G15390.1
AT3G15395	3:5200639-5201514:+	fgenesh2_kg.3__1679__AT3G15395.4	NA	Bo5g127140.1	AT3G15395.2
AT3G15400	3:5201622-5203197:+	fgenesh2_kg.3__1683__AT3G15400.1	Bra027246.1-P	Bo5g127130.1	AT3G15400.1
AT3G15410	3:5203205-5207574:+	fgenesh2_kg.3__1684__AT3G15410.1	Bra027245.1-P	Bo5g127120.1	AT3G15410.2
AT3G15420	3:5207575-5208509:-	fgenesh2_kg.3__1685__AT3G15420.1	NA	NA	AT3G15420.1
AT3G15430	3:5208559-5211779:+	fgenesh2_kg.3__1687__AT3G15430.2	NA	Bo5g127110.1	AT3G15430.2
AT3G15440	3:5211795-5212506:-	scaffold_301805.1	NA	NA	AT3G15440.1
AT3G15450	3:5212984-5214124:+	fgenesh2_kg.3__1692__AT3G15450.1	Bra027243.1-P	Bo5g127100.1	AT3G15450.1
AT3G15460	3:5214084-5216261:-	scaffold_301807.1	NA	Bo5g127090.1	AT3G15460.1
AT3G15470	3:5216262-5220274:-	scaffold_301808.1	Bra027242.1-P	Bo5g127080.1	AT3G15470.1
AT3G15480	3:5226161-5227935:-	scaffold_301809.1	Bra027240.1-P	Bo5g127070.1	AT3G15480.1
AT3G15490	3:5229124-5230646:+	fgenesh1_pm.C_scaffold_3001345	Bra027239.1-P	Bo5g127060.1	AT3G15490.1
AT3G15500	3:5234457-5236196:+	fgenesh2_kg.3__1697__AT3G15500.1	Bra027238.1-P	Bo5g127040.1	AT3G15500.1
AT3G15510	3:5243432-5245510:+	fgenesh2_kg.3__1698__AT3G15510.1	NA	NA	AT3G15510.1
AT3G15518	3:5249112-5249754:+	fgenesh2_kg.3__1699__AT3G15518.1	Bra027236.1-P	Bo5g127010.1	AT3G15518.1
AT3G15520	3:5249599-5252792:-	scaffold_301815.1	Bra027235.1-P	Bo5g127000.1	AT3G15520.1
AT3G15530	3:5252699-5254562:-	fgenesh2_kg.3__1702__AT3G15530.1	Bra027234.1-P	Bo5g126970.1	AT3G15530.1
AT3G15534	3:5258715-5259354:+	scaffold_301817.1	Bra027233.1-P	Bo5g126960.1	AT3G15534.1
AT3G15540	3:5264001-5265695:+	fgenesh2_kg.3__1704__AT3G15540.1	Bra027232.1-P	NA	AT3G15540.1
AT3G15550	3:5267204-5270118:+	Al_scaffold_0003_1626	Bra027229.1-P	NA	AT3G15550.1
AT3G15570	3:5269849-5271984:-	scaffold_301823.1	Bra027228.1-P	Bo5g126840.1	AT3G15570.1
AT3G15580	3:5273526-5275095:-	fgenesh2_kg.3__1708__AT3G15580.1	Bra027227.1-P	NA	AT3G15580.1
AT3G15590	3:5275387-5278019:-	fgenesh2_kg.3__1709__AT3G15590.1	Bra027226.1-P	Bo5g126830.1	AT3G15590.2
AT3G15605	3:5287323-5290971:+	Al_scaffold_0003_1630	NA	NA	AT3G15605.4
AT3G15610	3:5290847-5293241:-	fgenesh2_kg.3__1713__AT3G15610.1	NA	NA	AT3G15610.1
AT3G15620	3:5293256-5296811:-	fgenesh2_kg.3__1714__AT3G15620.1	NA	NA	AT3G15620.1
AT3G15630	3:5296841-5297851:-	fgenesh2_kg.3__1716__AT3G15630.1	NA	NA	AT3G15630.1
AT3G15640	3:5298991-5301745:+	fgenesh2_kg.3__1717__AT3G15640.1	Bra021123.1-P	Bo1g126150.1,Bo1g126160.1	AT3G15640.1
AT3G15650	3:5305549-5307979:+	scaffold_301835.1	Bra021124.1-P,Bra027221.1-P,Bra001602.1-P	Bo5g126790.1,Bo1g126130.1,Bo3g067960.1	AT3G15650.2
AT3G15660	3:5307694-5309624:-	fgenesh2_kg.3__1721__AT3G15660.2	Bra027220.1-P,Bra021125.1-P	Bo5g126780.1,Bo1g126120.1	AT3G15660.1
AT3G15670	3:5309886-5310988:-	fgenesh2_kg.3__1722__AT3G15670.1	Bra021126.1-P,Bra027219.1-P,Bra001603.1-P	Bo3g067970.1,Bo5g126770.1,Bo1g126110.1	AT3G15670.1
AT3G15680	3:5314817-5316617:+	fgenesh2_kg.3__1723__AT3G15680.1	Bra021127.1-P	Bo1g126090.1	AT3G15680.2
AT3G15690	3:5316916-5320121:+	fgenesh2_kg.3__1724__AT3G15690.2	Bra021128.1-P,Bra027217.1-P	NA	AT3G15690.2
AT3G15700	3:5320644-5322432:-	Al_scaffold_0003_1642	Bra021130.1-P	Bo1g126060.1	AT3G15700.1
AT3G15710	3:5323262-5324966:-	fgenesh2_kg.3__1727__AT3G15710.1	Bra021131.1-P,Bra027214.1-P	NA	AT3G15710.1
AT3G15720	3:5325127-5327672:-	fgenesh2_kg.3__1729__AT3G15720.1	Bra027211.1-P,Bra027210.1-P	NA	AT3G15720.1
AT3G15730	3:5330194-5333745:+	fgenesh2_kg.3__1730__AT3G15730.1	Bra027209.1-P	Bo5g126670.1	AT3G15730.1
AT3G15740	3:5333769-5334553:-	fgenesh1_pg.C_scaffold_3001467	NA	NA	AT3G15740.1
AT3G15760	3:5337475-5338562:+	Al_scaffold_0003_1648	Bra021133.1-P,Bra027208.1-P	Bo1g126030.1,Bo5g126660.1	AT3G15760.1
AT3G15770	3:5339992-5341339:+	fgenesh2_kg.3__1731__AT3G15770.1	NA	NA	AT3G15770.1
AT3G15780	3:5341356-5342557:+	scaffold_301847.1	NA	Bo5g126650.1	AT3G15780.1
AT3G15790	3:5342712-5344715:+	scaffold_301848.1	Bra021136.1-P	Bo1g126020.1	AT3G15790.2
AT3G15800	3:5344989-5347147:+	fgenesh1_pm.C_scaffold_3001376	Bra021137.1-P,Bra027207.1-P	Bo5g126630.1	AT3G15800.1
AT3G15810	3:5347762-5349321:-	scaffold_301850.1	Bra027206.1-P	Bo5g126620.1	AT3G15810.1
AT3G15820	3:5350814-5353752:+	scaffold_301851.1	Bra027205.1-P	Bo5g126610.1	AT3G15820.1
AT3G15830	3:5354874-5356426:+	fgenesh1_pg.C_scaffold_3001474	NA	NA	AT3G15830.1
AT3G15840	3:5356587-5358596:-	scaffold_301854.1	Bra027204.1-P,Bra001608.1-P	Bo3g068050.1,Bo5g126600.1	AT3G15840.1
AT3G15850	3:5358601-5361185:+	fgenesh2_kg.3__1741__AT3G15850.1	Bra001609.1-P	Bo3g068060.1	AT3G15850.1
AT3G15860	3:5361207-5361719:-	scaffold_301856.1	NA	NA	AT3G15860.1
AT3G15870	3:5362888-5364544:+	NA	Bra001610.1-P	Bo3g068070.1	AT3G15870.1
AT3G15880	3:5364081-5372293:-	fgenesh2_kg.3__1744__AT3G15880.2	Bra001613.1-P,Bra021142.1-P	Bo1g124960.1,Bo3g068100.1	AT3G15880.2
AT3G15890	3:5374248-5376275:+	fgenesh2_kg.3__1746__AT3G15890.1	Bra021143.1-P	Bo1g124940.1	AT3G15890.1
AT3G15900	3:5376251-5377179:-	fgenesh2_kg.3__1747__AT3G15900.1	Bra021144.1-P	NA	AT3G15900.1
AT3G15920	3:5383595-5390219:-	fgenesh2_kg.3__1748__AT3G15920.1	Bra021145.1-P	NA	AT3G15920.1
AT3G15930	3:5387444-5389690:+	NA	Bra021146.1-P	Bo1g124920.1	AT3G15930.1
AT3G15940	3:5393451-5396994:-	scaffold_301862.1	NA	NA	AT3G15940.2
AT3G15950	3:5397541-5402653:-	Al_scaffold_0003_1661	Bra021148.1-P	Bo1g124880.1,Bo1g124890.1	AT3G15950.1
AT3G15960	3:5403970-5406461:-	NA	NA	Bo1g124870.1	AT3G15960.1
AT3G15970	3:5408792-5411153:-	fgenesh2_kg.3__1752__AT3G15970.1	NA	NA	AT3G15970.2
AT3G15980	3:5411278-5418632:-	fgenesh2_kg.3__1753__AT3G15980.3	Bra021150.1-P	Bo1g124850.1,Bo3g068160.1	AT3G15980.5
AT3G15990	3:5426987-5430897:+	fgenesh2_kg.3__1756__AT3G15990.1	Bra021152.1-P	Bo3g068170.1	AT3G15990.1
AT3G16000	3:5430758-5433851:-	NA	Bra027196.1-P	Bo3g068180.1	AT3G16000.1
AT3G16010	3:5433526-5436828:+	fgenesh2_kg.3__1758__AT3G16010.1	NA	NA	AT3G16010.1
AT3G16040	3:5443081-5443952:+	scaffold_301874.1	NA	NA	AT3G16040.1
AT3G16050	3:5443950-5445329:-	fgenesh2_kg.3__1761__AT3G16050.1	NA	NA	AT3G16050.1
AT3G16060	3:5447272-5451562:+	scaffold_301876.1	NA	Bo5g126460.1	AT3G16060.1
AT3G16070	3:5451533-5452363:-	scaffold_301877.1	NA	Bo5g126450.1	AT3G16070.1
AT3G16090	3:5456093-5459006:+	scaffold_301879.1	NA	Bo1g124750.1	AT3G16090.1
AT3G16100	3:5459162-5460816:+	fgenesh2_kg.3__1765__AT3G16100.1	NA	NA	AT3G16100.1
AT3G16110	3:5460793-5463899:-	fgenesh2_kg.3__1766__AT3G16110.1	NA	NA	AT3G16110.1
AT3G16120	3:5464728-5465585:+	fgenesh2_kg.3__1767__AT3G16120.1	NA	Bo5g126420.1	AT3G16120.1
AT3G16130	3:5466246-5468774:+	fgenesh2_kg.3__1768__AT3G16130.1	Bra027189.1-P,Bra021162.1-P	Bo1g123710.1,Bo5g126410.1	AT3G16130.1
AT3G16140	3:5467987-5469594:-	NA	Bra027188.1-P,Bra021163.1-P	NA	AT3G16140.1
AT3G16150	3:5471735-5473360:+	fgenesh2_kg.3__1770__AT3G16150.1	Bra027187.1-P,Bra021164.1-P	Bo5g126380.1,Bo1g123690.1	AT3G16150.1
AT3G16160	3:5473366-5475347:-	Al_scaffold_0003_1683	Bra021165.1-P	Bo1g123680.1	AT3G16160.1
AT3G16170	3:5475855-5480349:+	fgenesh1_pm.C_scaffold_3001408	Bra027186.1-P,Bra021166.1-P	Bo1g123670.1,Bo5g126370.1	AT3G16170.1
AT3G16175	3:5480416-5481379:+	fgenesh1_pm.C_scaffold_3001409	Bra021167.1-P	Bo1g123660.1	AT3G16175.1
AT3G16180	3:5481325-5485187:-	scaffold_301890.1	Bra027185.1-P,Bra021168.1-P	Bo5g126360.1	AT3G16180.1
AT3G16190	3:5489701-5491332:-	Al_scaffold_0003_1687	Bra027184.1-P	NA	AT3G16190.1
AT3G16200	3:5491398-5493681:-	fgenesh2_kg.3__1774__AT3G16200.1	Bra027183.1-P	NA	AT3G16200.1
AT3G16210	3:5494480-5495725:-	scaffold_301894.1	Bra027182.1-P	NA	AT3G16210.1
AT3G16220	3:5497481-5499474:+	fgenesh2_kg.3__1776__AT3G16220.1	NA	NA	AT3G16220.1
AT3G16230	3:5500054-5503573:+	fgenesh1_pg.C_scaffold_3001512	NA	NA	AT3G16230.1
AT3G16240	3:5505360-5507050:+	fgenesh2_kg.3__1778__AT3G16240.1	Bra027181.1-P	NA	AT3G16240.1
AT3G16250	3:5506931-5508414:-	NA	Bra027180.1-P	NA	AT3G16250.1
AT3G16260	3:5509344-5513245:+	NA	Bra027179.1-P	Bo5g126300.1	AT3G16260.1
AT3G16270	3:5513267-5517606:+	NA	Bra027178.1-P	Bo5g126290.1	AT3G16270.2
AT3G16280	3:5518211-5519271:+	scaffold_301905.1	Bra027177.1-P	Bo5g126280.1	AT3G16280.2
AT3G16290	3:5520880-5525150:-	fgenesh2_kg.3__1782__AT3G16290.1	Bra027176.1-P	Bo5g126260.1	AT3G16290.1
AT3G16300	3:5525322-5526212:-	Al_scaffold_0003_1705	Bra027175.1-P	NA	AT3G16300.1
AT3G16310	3:5526249-5528602:-	fgenesh2_kg.3__1784__AT3G16310.1	Bra027174.1-P	Bo5g126240.1	AT3G16310.1
AT3G16320	3:5529313-5534734:+	fgenesh2_kg.3__1785__AT3G16320.1	Bra027173.1-P	NA	AT3G16320.1
AT3G16330	3:5535124-5536237:+	fgenesh2_kg.3__1786__AT3G16330.1	Bra027172.1-P	Bo5g126220.1	AT3G16330.1
AT3G16340	3:5539385-5546487:+	fgenesh1_pm.C_scaffold_3001425	Bra027171.1-P	Bo5g126190.1	AT3G16340.1
AT3G16350	3:5547492-5549862:+	fgenesh2_kg.3__1788__AT3G16350.1	Bra027170.1-P	Bo5g126180.1,Bo3g068340.1	AT3G16350.1
AT3G16360	3:5554197-5555789:+	fgenesh2_kg.3__1789__AT3G16360.1	Bra027169.1-P	Bo3g068370.1,Bo5g126170.1	AT3G16360.2
AT3G16370	3:5556710-5558982:+	fgenesh2_kg.3__1790__AT3G16370.1	Bra027168.1-P	Bo5g126160.1	AT3G16370.1
AT3G16380	3:5558445-5561126:-	Al_scaffold_0003_1714	NA	Bo5g126150.1	AT3G16380.1
AT3G16450	3:5588292-5590085:+	fgenesh2_kg.3__1803__AT3G16450.3	NA	NA	AT3G16450.2
AT3G16460	3:5592491-5595912:+	fgenesh2_kg.3__1806__AT3G16460.1	NA	Bo5g125010.1	AT3G16460.1
AT3G16470	3:5595282-5599224:-	fgenesh2_kg.3__1808__AT3G16470.2	Bra022161.1-P	NA	AT3G16470.1
AT3G16480	3:5599710-5603027:+	fgenesh2_kg.3__1810__AT3G16480.1	Bra022162.1-P	Bo5g124900.1	AT3G16480.1
AT3G16490	3:5603848-5605765:-	fgenesh2_kg.3__1811__AT3G16490.1	Bra022163.1-P	Bo5g124890.1	AT3G16490.1
AT3G16500	3:5612203-5614803:-	scaffold_301933.1	Bra022164.1-P	Bo5g124880.1	AT3G16500.1
AT3G16510	3:5616801-5618322:-	fgenesh2_kg.3__1813__AT3G16510.1	NA	NA	AT3G16510.1
AT3G16520	3:5618408-5620969:-	fgenesh2_kg.3__1816__AT3G16520.3	NA	NA	AT3G16520.3
AT3G16530	3:5624326-5625519:-	fgenesh2_kg.3__1817__AT3G16530.1	NA	NA	AT3G16530.1
AT3G16540	3:5626290-5628857:-	fgenesh2_kg.3__1818__AT3G16540.1	NA	NA	AT3G16540.1
AT3G16550	3:5629920-5632441:-	fgenesh2_kg.3__1819__AT3G16550.1	NA	NA	AT3G16550.1
AT3G16555	3:5633426-5634542:+	scaffold_301941.1	NA	NA	AT3G16555.1
AT3G16560	3:5635593-5638798:-	fgenesh2_kg.3__1820__AT3G16560.1	NA	NA	AT3G16560.1
AT3G16565	3:5639704-5642774:-	fgenesh2_kg.3__1821__AT3G16565.2	Bra022167.1-P	Bo5g124850.1	AT3G16565.3
AT3G16570	3:5644593-5646557:+	scaffold_301945.1	Bra022168.1-P	Bo5g124840.1	AT3G16570.1
AT3G16580	3:5647376-5648746:-	fgenesh2_kg.3__1824__AT3G16580.1	NA	NA	AT3G16580.1
AT3G16590	3:5649932-5651056:-	fgenesh1_pm.C_scaffold_3001446	NA	NA	AT3G16590.1
AT3G16600	3:5652839-5655670:-	fgenesh1_pm.C_scaffold_3001447	NA	NA	AT3G16600.1
AT3G16610	3:5656215-5658335:-	fgenesh1_pm.C_scaffold_3001448	NA	NA	AT3G16610.1
